max_depth:  10 , n_estimators:  10
train:  0.6074014481094127 , test:  0.6116666666666667
max_depth:  10 , n_estimators:  20
train:  0.6186645213193885 , test:  0.63
max_depth:  10 , n_estimators:  30
train:  0.5543041029766693 , test:  0.5766666666666667
max_depth:  10 , n_estimators:  40
train:  0.6230893000804505 , test:  0.625
max_depth:  10 , n_estimators:  50
train:  0.6263073209975865 , test:  0.6266666666666667
max_depth:  10 , n_estimators:  60
train:  0.6210780370072405 , test:  0.625
max_depth:  10 , n_estimators:  70
train:  0.6082059533386966 , test:  0.6183333333333333
max_depth:  10 , n_estimators:  80
train:  0.6178600160901045 , test:  0.6166666666666667
max_depth:  10 , n_estimators:  90
train:  0.3077232502011263 , test:  0.34
max_depth:  15 , n_estimators:  10
train:  0.6822204344328238 , test:  0.675
max_depth:  15 , n_estimators:  20
train:  0.672566371681416 , test:  0.6733333333333333
max_depth:  15 , n_estimators:  30
train:  0.6910699919549477 , test:  0.6766666666666666
max_depth:  15 , n_estimators:  40
train:  0.6781979082864039 , test:  0.6683333333333333
max_depth:  15 , n_estimators:  50
train:  0.6846339501206757 , test:  0.6783333333333333
max_depth:  15 , n_estimators:  60
train:  0.6874497184231697 , test:  0.6766666666666666
max_depth:  15 , n_estimators:  70
train:  0.6810136765888978 , test:  0.6766666666666666
max_depth:  15 , n_estimators:  80
train:  0.6850362027353177 , test:  0.6766666666666666
max_depth:  15 , n_estimators:  90
train:  0.6862429605792437 , test:  0.6783333333333333
max_depth:  20 , n_estimators:  10
train:  0.7582461786001609 , test:  0.6916666666666667
max_depth:  20 , n_estimators:  20
train:  0.7441673370876911 , test:  0.69
max_depth:  20 , n_estimators:  30
train:  0.7614641995172968 , test:  0.7083333333333334
max_depth:  20 , n_estimators:  40
train:  0.7244569589702333 , test:  0.6883333333333334
max_depth:  20 , n_estimators:  50
train:  0.7502011263073209 , test:  0.6883333333333334
max_depth:  20 , n_estimators:  60
train:  0.7493966210780371 , test:  0.6983333333333334
max_depth:  20 , n_estimators:  70
train:  0.7365245374094932 , test:  0.6916666666666667
max_depth:  20 , n_estimators:  80
train:  0.7240547063555913 , test:  0.6816666666666666
max_depth:  20 , n_estimators:  90
train:  0.7526146419951729 , test:  0.7016666666666667
max_depth:  25 , n_estimators:  10
train:  0.833065164923572 , test:  0.7466666666666667
max_depth:  25 , n_estimators:  20
train:  0.8632341110217217 , test:  0.7616666666666667
max_depth:  25 , n_estimators:  30
train:  0.833869670152856 , test:  0.7316666666666667
max_depth:  25 , n_estimators:  40
train:  0.8238133547868061 , test:  0.7266666666666667
max_depth:  25 , n_estimators:  50
train:  0.8374899436846339 , test:  0.7383333333333333
max_depth:  25 , n_estimators:  60
train:  0.828238133547868 , test:  0.7283333333333334
max_depth:  25 , n_estimators:  70
train:  0.827031375703942 , test:  0.7316666666666667
max_depth:  25 , n_estimators:  80
train:  0.8169750603378922 , test:  0.7266666666666667
max_depth:  25 , n_estimators:  90
train:  0.8358809332260659 , test:  0.7283333333333334
max_depth:  30 , n_estimators:  10
train:  0.8881737731295254 , test:  0.7816666666666666
max_depth:  30 , n_estimators:  20
train:  0.914320193081255 , test:  0.7833333333333333
max_depth:  30 , n_estimators:  30
train:  0.9070796460176991 , test:  0.785
max_depth:  30 , n_estimators:  40
train:  0.9026548672566371 , test:  0.7766666666666666
max_depth:  30 , n_estimators:  50
train:  0.9094931617055511 , test:  0.79
max_depth:  30 , n_estimators:  60
train:  0.9090909090909091 , test:  0.79
max_depth:  30 , n_estimators:  70
train:  0.9074818986323411 , test:  0.7766666666666666
max_depth:  30 , n_estimators:  80
train:  0.9207562349155269 , test:  0.7933333333333333
max_depth:  30 , n_estimators:  90
train:  0.9239742558326629 , test:  0.795
max_depth:  35 , n_estimators:  10
train:  0.9259855189058729 , test:  0.81
max_depth:  35 , n_estimators:  20
train:  0.9263877715205149 , test:  0.7966666666666666
max_depth:  35 , n_estimators:  30
train:  0.9352373290426388 , test:  0.81
max_depth:  35 , n_estimators:  40
train:  0.9408688656476267 , test:  0.8166666666666667
max_depth:  35 , n_estimators:  50
train:  0.9469026548672567 , test:  0.8183333333333334
max_depth:  35 , n_estimators:  60
train:  0.9509251810136766 , test:  0.815
max_depth:  35 , n_estimators:  70
train:  0.9452936444086887 , test:  0.8116666666666666
max_depth:  35 , n_estimators:  80
train:  0.9420756234915527 , test:  0.8133333333333334
max_depth:  35 , n_estimators:  90
train:  0.9452936444086887 , test:  0.8116666666666666
max_depth:  40 , n_estimators:  10
train:  0.9356395816572808 , test:  0.8233333333333334
max_depth:  40 , n_estimators:  20
train:  0.9473049074818987 , test:  0.82
max_depth:  40 , n_estimators:  30
train:  0.9529364440868866 , test:  0.8216666666666667
max_depth:  40 , n_estimators:  40
train:  0.9557522123893806 , test:  0.83
max_depth:  40 , n_estimators:  50
train:  0.9565567176186646 , test:  0.8233333333333334
max_depth:  40 , n_estimators:  60
train:  0.9541432019308126 , test:  0.8166666666666667
max_depth:  40 , n_estimators:  70
train:  0.9589702333065165 , test:  0.82
max_depth:  40 , n_estimators:  80
train:  0.9605792437650845 , test:  0.8283333333333334
max_depth:  40 , n_estimators:  90
train:  0.9581657280772325 , test:  0.8166666666666667
max_depth:  45 , n_estimators:  10
train:  0.9561544650040226 , test:  0.8283333333333334
max_depth:  45 , n_estimators:  20
train:  0.9577634754625906 , test:  0.8283333333333334
max_depth:  45 , n_estimators:  30
train:  0.9569589702333066 , test:  0.8233333333333334
max_depth:  45 , n_estimators:  40
train:  0.9646017699115044 , test:  0.8333333333333334
max_depth:  45 , n_estimators:  50
train:  0.9637972646822205 , test:  0.8283333333333334
max_depth:  45 , n_estimators:  60
train:  0.9702333065164923 , test:  0.825
max_depth:  45 , n_estimators:  70
train:  0.9650040225261464 , test:  0.83
max_depth:  45 , n_estimators:  80
train:  0.9686242960579243 , test:  0.83
max_depth:  45 , n_estimators:  90
train:  0.9682220434432823 , test:  0.83
max_depth:  50 , n_estimators:  10
train:  0.9525341914722446 , test:  0.835
max_depth:  50 , n_estimators:  20
train:  0.9625905068382945 , test:  0.83
max_depth:  50 , n_estimators:  30
train:  0.9714400643604183 , test:  0.8316666666666667
max_depth:  50 , n_estimators:  40
train:  0.9702333065164923 , test:  0.8366666666666667
max_depth:  50 , n_estimators:  50
train:  0.9714400643604183 , test:  0.8383333333333334
max_depth:  50 , n_estimators:  60
train:  0.9714400643604183 , test:  0.8283333333333334
max_depth:  50 , n_estimators:  70
train:  0.9718423169750603 , test:  0.8433333333333334
max_depth:  50 , n_estimators:  80
train:  0.9754625905068383 , test:  0.8416666666666667
max_depth:  50 , n_estimators:  90
train:  0.9746580852775543 , test:  0.84
max_depth:  55 , n_estimators:  10
train:  0.9593724859211585 , test:  0.83
max_depth:  55 , n_estimators:  20
train:  0.9726468222043443 , test:  0.8316666666666667
max_depth:  55 , n_estimators:  30
train:  0.9730490748189863 , test:  0.845
max_depth:  55 , n_estimators:  40
train:  0.9730490748189863 , test:  0.84
max_depth:  55 , n_estimators:  50
train:  0.9734513274336283 , test:  0.8316666666666667
max_depth:  55 , n_estimators:  60
train:  0.9754625905068383 , test:  0.835
max_depth:  55 , n_estimators:  70
train:  0.9766693483507642 , test:  0.8383333333333334
max_depth:  55 , n_estimators:  80
train:  0.9774738535800482 , test:  0.835
max_depth:  55 , n_estimators:  90
train:  0.9766693483507642 , test:  0.8383333333333334
max_depth:  60 , n_estimators:  10
train:  0.9625905068382945 , test:  0.8216666666666667
max_depth:  60 , n_estimators:  20
train:  0.9714400643604183 , test:  0.835
max_depth:  60 , n_estimators:  30
train:  0.9754625905068383 , test:  0.8383333333333334
max_depth:  60 , n_estimators:  40
train:  0.9778761061946902 , test:  0.8433333333333334
max_depth:  60 , n_estimators:  50
train:  0.9786806114239742 , test:  0.8433333333333334
max_depth:  60 , n_estimators:  60

train:  0.9790828640386162 , test:  0.8316666666666667
max_depth:  60 , n_estimators:  70
train:  0.9798873692679002 , test:  0.8416666666666667
max_depth:  60 , n_estimators:  80
train:  0.9774738535800482 , test:  0.8416666666666667
max_depth:  60 , n_estimators:  90
train:  0.9798873692679002 , test:  0.8416666666666667
max_depth:  65 , n_estimators:  10
train:  0.9617860016090105 , test:  0.8233333333333334
max_depth:  65 , n_estimators:  20
train:  0.9718423169750603 , test:  0.8316666666666667
max_depth:  65 , n_estimators:  30
train:  0.9758648431214803 , test:  0.8366666666666667
max_depth:  65 , n_estimators:  40
train:  0.9790828640386162 , test:  0.8483333333333334
max_depth:  65 , n_estimators:  50
train:  0.9782783588093322 , test:  0.8433333333333334
max_depth:  65 , n_estimators:  60
train:  0.9806918744971842 , test:  0.8416666666666667
max_depth:  65 , n_estimators:  70
train:  0.9802896218825422 , test:  0.84
max_depth:  65 , n_estimators:  80
train:  0.9806918744971842 , test:  0.8433333333333334
max_depth:  65 , n_estimators:  90
train:  0.9806918744971842 , test:  0.8366666666666667
max_depth:  70 , n_estimators:  10
train:  0.9625905068382945 , test:  0.8283333333333334
max_depth:  70 , n_estimators:  20
train:  0.9726468222043443 , test:  0.8416666666666667
max_depth:  70 , n_estimators:  30
train:  0.9758648431214803 , test:  0.835
max_depth:  70 , n_estimators:  40
train:  0.9782783588093322 , test:  0.8366666666666667
max_depth:  70 , n_estimators:  50
train:  0.9786806114239742 , test:  0.8433333333333334
max_depth:  70 , n_estimators:  60
train:  0.9806918744971842 , test:  0.8366666666666667
max_depth:  70 , n_estimators:  70
train:  0.9798873692679002 , test:  0.8416666666666667
max_depth:  70 , n_estimators:  80
train:  0.9806918744971842 , test:  0.8433333333333334
max_depth:  70 , n_estimators:  90
train:  0.9806918744971842 , test:  0.845
max_depth:  75 , n_estimators:  10
train:  0.9597747385358005 , test:  0.83
max_depth:  75 , n_estimators:  20
train:  0.9738535800482703 , test:  0.8383333333333334
max_depth:  75 , n_estimators:  30
train:  0.9766693483507642 , test:  0.8366666666666667
max_depth:  75 , n_estimators:  40
train:  0.9774738535800482 , test:  0.8316666666666667
max_depth:  75 , n_estimators:  50
train:  0.9790828640386162 , test:  0.8383333333333334
max_depth:  75 , n_estimators:  60
train:  0.9798873692679002 , test:  0.85
max_depth:  75 , n_estimators:  70
train:  0.9806918744971842 , test:  0.84
max_depth:  75 , n_estimators:  80
train:  0.9806918744971842 , test:  0.84
max_depth:  75 , n_estimators:  90
train:  0.9810941271118262 , test:  0.8466666666666667
max_depth:  80 , n_estimators:  10
train:  0.9601769911504425 , test:  0.8233333333333334
max_depth:  80 , n_estimators:  20
train:  0.9742558326629123 , test:  0.8416666666666667
max_depth:  80 , n_estimators:  30
train:  0.9782783588093322 , test:  0.8416666666666667
max_depth:  80 , n_estimators:  40
train:  0.9798873692679002 , test:  0.8466666666666667
max_depth:  80 , n_estimators:  50
train:  0.9794851166532582 , test:  0.845
max_depth:  80 , n_estimators:  60
train:  0.9794851166532582 , test:  0.8433333333333334
max_depth:  80 , n_estimators:  70
train:  0.9798873692679002 , test:  0.845
max_depth:  80 , n_estimators:  80
train:  0.9806918744971842 , test:  0.845
max_depth:  80 , n_estimators:  90
train:  0.9810941271118262 , test:  0.8383333333333334
max_depth:  85 , n_estimators:  10
train:  0.9605792437650845 , test:  0.8266666666666667
max_depth:  85 , n_estimators:  20
train:  0.9758648431214803 , test:  0.8283333333333334
max_depth:  85 , n_estimators:  30
train:  0.9774738535800482 , test:  0.8483333333333334
max_depth:  85 , n_estimators:  40
train:  0.9774738535800482 , test:  0.8333333333333334
max_depth:  85 , n_estimators:  50
train:  0.9794851166532582 , test:  0.8483333333333334
max_depth:  85 , n_estimators:  60
train:  0.9790828640386162 , test:  0.8466666666666667
max_depth:  85 , n_estimators:  70
train:  0.9802896218825422 , test:  0.8483333333333334
max_depth:  85 , n_estimators:  80
train:  0.9798873692679002 , test:  0.8383333333333334
max_depth:  85 , n_estimators:  90
train:  0.9806918744971842 , test:  0.8366666666666667
max_depth:  90 , n_estimators:  10
train:  0.9629927594529365 , test:  0.8333333333333334
max_depth:  90 , n_estimators:  20
train:  0.9730490748189863 , test:  0.8383333333333334
max_depth:  90 , n_estimators:  30
train:  0.9786806114239742 , test:  0.84
max_depth:  90 , n_estimators:  40
train:  0.9794851166532582 , test:  0.845
max_depth:  90 , n_estimators:  50
train:  0.9806918744971842 , test:  0.845
max_depth:  90 , n_estimators:  60
train:  0.9802896218825422 , test:  0.8466666666666667
max_depth:  90 , n_estimators:  70
