

max_depth:  10 , n_estimators:  10
train:  0.5643604183427192 , test:  0.555
max_depth:  10 , n_estimators:  60
train:  0.5402252614641995 , test:  0.555
max_depth:  10 , n_estimators:  110
train:  0.6283185840707964 , test:  0.63
max_depth:  10 , n_estimators:  160
train:  0.5973451327433629 , test:  0.61
max_depth:  10 , n_estimators:  210
train:  0.6343523732904264 , test:  0.6316666666666667
max_depth:  10 , n_estimators:  260
train:  0.6198712791633145 , test:  0.6266666666666667
max_depth:  10 , n_estimators:  310
train:  0.6174577634754626 , test:  0.62
max_depth:  10 , n_estimators:  360
train:  0.6194690265486725 , test:  0.6216666666666667
max_depth:  10 , n_estimators:  410
train:  0.6251005631536605 , test:  0.6283333333333333
max_depth:  10 , n_estimators:  460
train:  0.6198712791633145 , test:  0.625
max_depth:  10 , n_estimators:  510
train:  0.589702333065165 , test:  0.6033333333333334
max_depth:  35 , n_estimators:  10
train:  0.9259855189058729 , test:  0.8133333333333334
max_depth:  35 , n_estimators:  60
train:  0.9388576025744167 , test:  0.815
max_depth:  35 , n_estimators:  110
train:  0.9428801287208367 , test:  0.8133333333333334
max_depth:  35 , n_estimators:  160
train:  0.9444891391794047 , test:  0.815
max_depth:  35 , n_estimators:  210
train:  0.9465004022526147 , test:  0.8183333333333334
max_depth:  35 , n_estimators:  260
train:  0.9428801287208367 , test:  0.815
max_depth:  35 , n_estimators:  310
train:  0.9416733708769107 , test:  0.8066666666666666
max_depth:  35 , n_estimators:  360
train:  0.9440868865647627 , test:  0.8083333333333333
max_depth:  35 , n_estimators:  410
train:  0.9432823813354787 , test:  0.815
max_depth:  35 , n_estimators:  460
train:  0.9424778761061947 , test:  0.8133333333333334
max_depth:  35 , n_estimators:  510
train:  0.9444891391794047 , test:  0.8166666666666667
max_depth:  60 , n_estimators:  10
train:  0.9617860016090105 , test:  0.8316666666666667
max_depth:  60 , n_estimators:  60
train:  0.9790828640386162 , test:  0.8416666666666667
max_depth:  60 , n_estimators:  110
train:  0.9802896218825422 , test:  0.8416666666666667
max_depth:  60 , n_estimators:  160
train:  0.9806918744971842 , test:  0.8416666666666667
max_depth:  60 , n_estimators:  210
train:  0.9806918744971842 , test:  0.8383333333333334
max_depth:  60 , n_estimators:  260
train:  0.9806918744971842 , test:  0.8433333333333334
max_depth:  60 , n_estimators:  310
train:  0.9806918744971842 , test:  0.84
max_depth:  60 , n_estimators:  360
train:  0.9802896218825422 , test:  0.8383333333333334
max_depth:  60 , n_estimators:  410
train:  0.9806918744971842 , test:  0.84
max_depth:  60 , n_estimators:  460
train:  0.9806918744971842 , test:  0.8383333333333334
max_depth:  60 , n_estimators:  510
train:  0.9810941271118262 , test:  0.8416666666666667
max_depth:  85 , n_estimators:  10
train:  0.9569589702333066 , test:  0.8216666666666667
max_depth:  85 , n_estimators:  60
train:  0.9806918744971842 , test:  0.8416666666666667
max_depth:  85 , n_estimators:  110
train:  0.9806918744971842 , test:  0.8433333333333334
max_depth:  85 , n_estimators:  160
train:  0.9806918744971842 , test:  0.8416666666666667
max_depth:  85 , n_estimators:  210
train:  0.9810941271118262 , test:  0.845
max_depth:  85 , n_estimators:  260
train:  0.9810941271118262 , test:  0.8416666666666667
max_depth:  85 , n_estimators:  310
train:  0.9810941271118262 , test:  0.845
max_depth:  85 , n_estimators:  360
train:  0.9810941271118262 , test:  0.84
max_depth:  85 , n_estimators:  410
train:  0.9810941271118262 , test:  0.845
max_depth:  85 , n_estimators:  460
train:  0.9810941271118262 , test:  0.8433333333333334
max_depth:  85 , n_estimators:  510
train:  0.9806918744971842 , test:  0.845
max_depth:  110 , n_estimators:  10
train:  0.9609814963797265 , test:  0.8266666666666667
max_depth:  110 , n_estimators:  60
train:  0.9798873692679002 , test:  0.8433333333333334
max_depth:  110 , n_estimators:  110
train:  0.9806918744971842 , test:  0.845
max_depth:  110 , n_estimators:  160
train:  0.9810941271118262 , test:  0.8416666666666667
max_depth:  110 , n_estimators:  210
train:  0.9810941271118262 , test:  0.8433333333333334
max_depth:  110 , n_estimators:  260
train:  0.9810941271118262 , test:  0.845
max_depth:  110 , n_estimators:  310
train:  0.9810941271118262 , test:  0.845
max_depth:  110 , n_estimators:  360
train:  0.9810941271118262 , test:  0.845
max_depth:  110 , n_estimators:  410
train:  0.9810941271118262 , test:  0.845
max_depth:  110 , n_estimators:  460
train:  0.9810941271118262 , test:  0.8433333333333334
max_depth:  110 , n_estimators:  510
train:  0.9810941271118262 , test:  0.845
max_depth:  135 , n_estimators:  10
train:  0.9654062751407884 , test:  0.83
max_depth:  135 , n_estimators:  60
train:  0.9802896218825422 , test:  0.8416666666666667
max_depth:  135 , n_estimators:  110
train:  0.9810941271118262 , test:  0.84
max_depth:  135 , n_estimators:  160
train:  0.9810941271118262 , test:  0.845
max_depth:  135 , n_estimators:  210
train:  0.9810941271118262 , test:  0.845
max_depth:  135 , n_estimators:  260
train:  0.9810941271118262 , test:  0.845
max_depth:  135 , n_estimators:  310
train:  0.9810941271118262 , test:  0.8466666666666667
max_depth:  135 , n_estimators:  360
train:  0.9810941271118262 , test:  0.84
max_depth:  135 , n_estimators:  410
train:  0.9810941271118262 , test:  0.8433333333333334
max_depth:  135 , n_estimators:  460
train:  0.9810941271118262 , test:  0.8433333333333334
max_depth:  135 , n_estimators:  510
train:  0.9810941271118262 , test:  0.845
max_depth:  160 , n_estimators:  10
train:  0.9641995172968625 , test:  0.8366666666666667
max_depth:  160 , n_estimators:  60
train:  0.9802896218825422 , test:  0.8433333333333334
max_depth:  160 , n_estimators:  110
train:  0.9806918744971842 , test:  0.845
max_depth:  160 , n_estimators:  160
train:  0.9810941271118262 , test:  0.8416666666666667
max_depth:  160 , n_estimators:  210
train:  0.9806918744971842 , test:  0.845
max_depth:  160 , n_estimators:  260
train:  0.9806918744971842 , test:  0.845
max_depth:  160 , n_estimators:  310
train:  0.9810941271118262 , test:  0.845
max_depth:  160 , n_estimators:  360
train:  0.9810941271118262 , test:  0.8416666666666667
max_depth:  160 , n_estimators:  410
train:  0.9810941271118262 , test:  0.845
max_depth:  160 , n_estimators:  460
train:  0.9810941271118262 , test:  0.845
max_depth:  160 , n_estimators:  510
train:  0.9810941271118262 , test:  0.845
max_depth:  185 , n_estimators:  10
train:  0.9609814963797265 , test:  0.8333333333333334
max_depth:  185 , n_estimators:  60
train:  0.9806918744971842 , test:  0.84
max_depth:  185 , n_estimators:  110
train:  0.9810941271118262 , test:  0.84
max_depth:  185 , n_estimators:  160
train:  0.9810941271118262 , test:  0.8433333333333334
max_depth:  185 , n_estimators:  210
train:  0.9810941271118262 , test:  0.84
max_depth:  185 , n_estimators:  260
train:  0.9810941271118262 , test:  0.8433333333333334
max_depth:  185 , n_estimators:  310
train:  0.9810941271118262 , test:  0.845
max_depth:  185 , n_estimators:  360
train:  0.9810941271118262 , test:  0.8416666666666667
max_depth:  185 , n_estimators:  410
train:  0.9810941271118262 , test:  0.8416666666666667
max_depth:  185 , n_estimators:  460
train:  0.9810941271118262 , test:  0.845
max_depth:  185 , n_estimators:  510
train:  0.9810941271118262 , test:  0.8466666666666667
max_depth:  210 , n_estimators:  10
train:  0.9629927594529365 , test:  0.8183333333333334
max_depth:  210 , n_estimators:  60
train:  0.9802896218825422 , test:  0.8466666666666667
max_depth:  210 , n_estimators:  110
train:  0.9806918744971842 , test:  0.845
max_depth:  210 , n_estimators:  160
train:  0.9810941271118262 , test:  0.8416666666666667
max_depth:  210 , n_estimators:  210
train:  0.9810941271118262 , test:  0.8466666666666667
max_depth:  210 , n_estimators:  260
train:  0.9810941271118262 , test:  0.8466666666666667
max_depth:  210 , n_estimators:  310
train:  0.9810941271118262 , test:  0.8433333333333334
max_depth:  210 , n_estimators:  360
train:  0.9810941271118262 , test:  0.8416666666666667

max_depth:  210 , n_estimators:  410
train:  0.9806918744971842 , test:  0.8433333333333334
max_depth:  210 , n_estimators:  460
train:  0.9806918744971842 , test:  0.8416666666666667
max_depth:  210 , n_estimators:  510
train:  0.9810941271118262 , test:  0.845
max_depth:  235 , n_estimators:  10
train:  0.9621882542236525 , test:  0.8233333333333334
max_depth:  235 , n_estimators:  60
train:  0.9802896218825422 , test:  0.8483333333333334
max_depth:  235 , n_estimators:  110
train:  0.9810941271118262 , test:  0.8433333333333334
max_depth:  235 , n_estimators:  160
train:  0.9810941271118262 , test:  0.845
max_depth:  235 , n_estimators:  210
