max_depth:  10 , n_estimators:  10
train:  0.3045052292839903 , test:  0.3283333333333333
max_depth:  10 , n_estimators:  60
train:  0.6395816572807723 , test:  0.6366666666666667
max_depth:  10 , n_estimators:  110
train:  0.6049879324215608 , test:  0.6133333333333333
max_depth:  10 , n_estimators:  160
train:  0.6162510056315366 , test:  0.6183333333333333
max_depth:  10 , n_estimators:  210
train:  0.6158487530168946 , test:  0.62
max_depth:  10 , n_estimators:  260
train:  0.6174577634754626 , test:  0.6183333333333333
max_depth:  10 , n_estimators:  310
train:  0.6202735317779565 , test:  0.625
max_depth:  10 , n_estimators:  360
train:  0.6130329847144006 , test:  0.6183333333333333
max_depth:  10 , n_estimators:  410
train:  0.6186645213193885 , test:  0.6233333333333333
max_depth:  10 , n_estimators:  460
train:  0.6222847948511665 , test:  0.6266666666666667
max_depth:  15 , n_estimators:  10
train:  0.6991150442477876 , test:  0.6833333333333333
max_depth:  15 , n_estimators:  60
train:  0.6733708769107 , test:  0.67
max_depth:  15 , n_estimators:  110
train:  0.6794046661303298 , test:  0.6766666666666666
max_depth:  15 , n_estimators:  160
train:  0.6878519710378117 , test:  0.6766666666666666
max_depth:  15 , n_estimators:  210
train:  0.672164119066774 , test:  0.67
max_depth:  15 , n_estimators:  260
train:  0.6862429605792437 , test:  0.6766666666666666
max_depth:  15 , n_estimators:  310
train:  0.674175382139984 , test:  0.67
max_depth:  15 , n_estimators:  360
train:  0.6757843925985519 , test:  0.67
max_depth:  15 , n_estimators:  410
train:  0.6870474658085277 , test:  0.6766666666666666
max_depth:  15 , n_estimators:  460
train:  0.6834271922767498 , test:  0.6766666666666666
max_depth:  20 , n_estimators:  10
train:  0.7763475462590507 , test:  0.7083333333333334
max_depth:  20 , n_estimators:  60
train:  0.7236524537409493 , test:  0.6833333333333333
max_depth:  20 , n_estimators:  110
train:  0.7244569589702333 , test:  0.6816666666666666
max_depth:  20 , n_estimators:  160
train:  0.7510056315366049 , test:  0.6933333333333334
max_depth:  20 , n_estimators:  210
train:  0.7401448109412712 , test:  0.6933333333333334
max_depth:  20 , n_estimators:  260
train:  0.7449718423169751 , test:  0.6883333333333334
max_depth:  20 , n_estimators:  310
train:  0.7425583266291231 , test:  0.6883333333333334
max_depth:  20 , n_estimators:  360
train:  0.7502011263073209 , test:  0.695
max_depth:  20 , n_estimators:  410
train:  0.7232502011263073 , test:  0.6816666666666666
max_depth:  20 , n_estimators:  460
train:  0.7373290426387772 , test:  0.6883333333333334
max_depth:  25 , n_estimators:  10
train:  0.8829444891391794 , test:  0.78
max_depth:  25 , n_estimators:  60
train:  0.8133547868061143 , test:  0.7216666666666667
max_depth:  25 , n_estimators:  110
train:  0.8213998390989542 , test:  0.7266666666666667
max_depth:  25 , n_estimators:  160
train:  0.827835880933226 , test:  0.7266666666666667
max_depth:  25 , n_estimators:  210
train:  0.829042638777152 , test:  0.7316666666666667
max_depth:  25 , n_estimators:  260
train:  0.833065164923572 , test:  0.7266666666666667
max_depth:  25 , n_estimators:  310
train:  0.829847144006436 , test:  0.725
max_depth:  25 , n_estimators:  360
train:  0.830249396621078 , test:  0.73
max_depth:  25 , n_estimators:  410
train:  0.827835880933226 , test:  0.7283333333333334
max_depth:  25 , n_estimators:  460
train:  0.830249396621078 , test:  0.7283333333333334
max_depth:  30 , n_estimators:  10
train:  0.8777152051488335 , test:  0.775
max_depth:  30 , n_estimators:  60
train:  0.8954143201930812 , test:  0.775
max_depth:  30 , n_estimators:  110
train:  0.918744971842317 , test:  0.785
max_depth:  30 , n_estimators:  160
train:  0.911906677393403 , test:  0.7866666666666666
max_depth:  30 , n_estimators:  210
train:  0.919951729686243 , test:  0.7883333333333333
max_depth:  30 , n_estimators:  260
train:  0.914722445695897 , test:  0.7916666666666666
max_depth:  30 , n_estimators:  310
train:  0.918744971842317 , test:  0.79
max_depth:  30 , n_estimators:  360
train:  0.918744971842317 , test:  0.7916666666666666
max_depth:  30 , n_estimators:  410
train:  0.914722445695897 , test:  0.7916666666666666
max_depth:  30 , n_estimators:  460
train:  0.919549477071601 , test:  0.795
max_depth:  35 , n_estimators:  10
train:  0.9312148028962188 , test:  0.805
max_depth:  35 , n_estimators:  60
train:  0.9388576025744167 , test:  0.8066666666666666
max_depth:  35 , n_estimators:  110
train:  0.9444891391794047 , test:  0.8133333333333334
max_depth:  35 , n_estimators:  160
train:  0.9416733708769107 , test:  0.81
max_depth:  35 , n_estimators:  210
train:  0.9448913917940467 , test:  0.8133333333333334
max_depth:  35 , n_estimators:  260
train:  0.9428801287208367 , test:  0.8116666666666666
max_depth:  35 , n_estimators:  310
train:  0.9456958970233307 , test:  0.8116666666666666
max_depth:  35 , n_estimators:  360
train:  0.9448913917940467 , test:  0.81
max_depth:  35 , n_estimators:  410
train:  0.9436846339501207 , test:  0.8133333333333334
max_depth:  35 , n_estimators:  460
train:  0.9432823813354787 , test:  0.8116666666666666
max_depth:  40 , n_estimators:  10
train:  0.9436846339501207 , test:  0.8116666666666666
max_depth:  40 , n_estimators:  60
train:  0.9569589702333066 , test:  0.82
max_depth:  40 , n_estimators:  110
train:  0.9605792437650845 , test:  0.8233333333333334
max_depth:  40 , n_estimators:  160
train:  0.9589702333065165 , test:  0.8233333333333334
max_depth:  40 , n_estimators:  210
train:  0.9561544650040226 , test:  0.8216666666666667
max_depth:  40 , n_estimators:  260
train:  0.9589702333065165 , test:  0.8216666666666667
max_depth:  40 , n_estimators:  310
train:  0.9597747385358005 , test:  0.8216666666666667
max_depth:  40 , n_estimators:  360
train:  0.9613837489943685 , test:  0.8216666666666667
max_depth:  40 , n_estimators:  410
train:  0.9577634754625906 , test:  0.8233333333333334
max_depth:  40 , n_estimators:  460
train:  0.9581657280772325 , test:  0.8216666666666667
max_depth:  45 , n_estimators:  10
train:  0.9509251810136766 , test:  0.8216666666666667
max_depth:  45 , n_estimators:  60
train:  0.9637972646822205 , test:  0.8283333333333334
max_depth:  45 , n_estimators:  110
train:  0.9646017699115044 , test:  0.83
max_depth:  45 , n_estimators:  160
train:  0.9662107803700724 , test:  0.83
max_depth:  45 , n_estimators:  210
train:  0.9646017699115044 , test:  0.8316666666666667
max_depth:  45 , n_estimators:  260
train:  0.9674175382139983 , test:  0.835
max_depth:  45 , n_estimators:  310
train:  0.9641995172968625 , test:  0.83
max_depth:  45 , n_estimators:  360
train:  0.9674175382139983 , test:  0.8316666666666667
max_depth:  45 , n_estimators:  410
train:  0.9662107803700724 , test:  0.8283333333333334
max_depth:  45 , n_estimators:  460
train:  0.9650040225261464 , test:  0.8333333333333334
max_depth:  50 , n_estimators:  10
train:  0.9529364440868866 , test:  0.82
